"","province","pt","type","category","constrained","Industry","conversion.factor"
"176","Ontario","ON","Direct","GDP",NA,"Support activities for forestry [BS115300]",11.9346980714746
"177","Ontario","ON","Direct","GDP",NA,"Veneer, plywood and engineered wood product manufacturing [BS321200]",41.8571514691047
"178","Ontario","ON","Direct","GDP",NA,"Total Forest Sector",365.085472075659
"179","Ontario","ON","Direct","Jobs",NA,"Converted paper product manufacturing [BS3222]",0.00103117272375564
"180","Ontario","ON","Direct","Jobs",NA,"Forestry and logging [BS113]",0.000250267999315651
"181","Ontario","ON","Direct","Jobs",NA,"Other wood product manufacturing [BS3219]",0.000711789616683773
"182","Ontario","ON","Direct","Jobs",NA,"Pulp, paper and paperboard mills [BS3221]",0.000271112238162762
"183","Ontario","ON","Direct","Jobs",NA,"Sawmills and wood preservation [BS3211]",0.000233057788951753
"184","Ontario","ON","Direct","Jobs",NA,"Support activities for forestry [BS1153]",0.000120402905972132
"185","Ontario","ON","Direct","Jobs",NA,"Veneer, plywood and engineered wood product manufacturing [BS3212]",0.000263227082019941
"186","Ontario","ON","Direct","Jobs",NA,"Total Forest Sector",0.00288103035486165
"187","Prince Edward Island","PE","Direct","Output",NA,"Converted paper product manufacturing [BS322200]",221.446422179904
"188","Prince Edward Island","PE","Direct","Output",NA,"Forestry and logging [BS113000]",27.82684058088
"189","Prince Edward Island","PE","Direct","Output",NA,"Other wood product manufacturing [BS321900]",19.1707813925528
"190","Prince Edward Island","PE","Direct","Output",NA,"Pulp, paper and paperboard mills [BS322100]",0
"191","Prince Edward Island","PE","Direct","Output",NA,"Sawmills and wood preservation [BS321100]",6.31945425405481
"192","Prince Edward Island","PE","Direct","Output",NA,"Support activities for forestry [BS115300]",3.29248877102015
"193","Prince Edward Island","PE","Direct","Output",NA,"Veneer, plywood and engineered wood product manufacturing [BS321200]",24.1626192066801
"194","Prince Edward Island","PE","Direct","Output",NA,"Total Forest Sector",302.218606385092
"195","Prince Edward Island","PE","Direct","GDP",NA,"Converted paper product manufacturing [BS322200]",75.6741370758664
"196","Prince Edward Island","PE","Direct","GDP",NA,"Forestry and logging [BS113000]",9.55883836747786
"197","Prince Edward Island","PE","Direct","GDP",NA,"Other wood product manufacturing [BS321900]",6.5318728844432
"198","Prince Edward Island","PE","Direct","GDP",NA,"Pulp, paper and paperboard mills [BS322100]",0
"199","Prince Edward Island","PE","Direct","GDP",NA,"Sawmills and wood preservation [BS321100]",2.92075616784046
"200","Prince Edward Island","PE","Direct","GDP",NA,"Support activities for forestry [BS115300]",1.96487233109267
"201","Prince Edward Island","PE","Direct","GDP",NA,"Veneer, plywood and engineered wood product manufacturing [BS321200]",7.16912877560839
"202","Prince Edward Island","PE","Direct","GDP",NA,"Total Forest Sector",103.819605602329
"203","Prince Edward Island","PE","Direct","Jobs",NA,"Converted paper product manufacturing [BS3222]",0.000828432658514748
"204","Prince Edward Island","PE","Direct","Jobs",NA,"Forestry and logging [BS113]",0.000151348274151733
"205","Prince Edward Island","PE","Direct","Jobs",NA,"Other wood product manufacturing [BS3219]",0.000201797698868977
"206","Prince Edward Island","PE","Direct","Jobs",NA,"Pulp, paper and paperboard mills [BS3221]",0
"207","Prince Edward Island","PE","Direct","Jobs",NA,"Sawmills and wood preservation [BS3211]",9.02779179150687e-05
"208","Prince Edward Island","PE","Direct","Jobs",NA,"Support activities for forestry [BS1153]",8.76226850352137e-05
"209","Prince Edward Island","PE","Direct","Jobs",NA,"Veneer, plywood and engineered wood product manufacturing [BS3212]",0.000111519780953908
"210","Prince Edward Island","PE","Direct","Jobs",NA,"Total Forest Sector",0.00147099901543965
"211","Quebec","QC","Direct","Output",NA,"Converted paper product manufacturing [BS322200]",124.069012381122
"212","Quebec","QC","Direct","Output",NA,"Forestry and logging [BS113000]",80.0385297456857
"213","Quebec","QC","Direct","Output",NA,"Other wood product manufacturing [BS321900]",117.642788918899
"214","Quebec","QC","Direct","Output",NA,"Pulp, paper and paperboard mills [BS322100]",226.510403836352
"215","Quebec","QC","Direct","Output",NA,"Sawmills and wood preservation [BS321100]",148.954386712467
"216","Quebec","QC","Direct","Output",NA,"Support activities for forestry [BS115300]",23.2848069830779
"217","Quebec","QC","Direct","Output",NA,"Veneer, plywood and engineered wood product manufacturing [BS321200]",70.4133492295808
"218","Quebec","QC","Direct","Output",NA,"Total Forest Sector",790.913277807184
"219","Quebec","QC","Direct","GDP",NA,"Converted paper product manufacturing [BS322200]",39.6134974589286
"220","Quebec","QC","Direct","GDP",NA,"Forestry and logging [BS113000]",27.1080215968279
"221","Quebec","QC","Direct","GDP",NA,"Other wood product manufacturing [BS321900]",38.4332151422479
"222","Quebec","QC","Direct","GDP",NA,"Pulp, paper and paperboard mills [BS322100]",78.7667864376754
"223","Quebec","QC","Direct","GDP",NA,"Sawmills and wood preservation [BS321100]",43.4555849756513
"224","Quebec","QC","Direct","GDP",NA,"Support activities for forestry [BS115300]",11.2671230747346
"225","Quebec","QC","Direct","GDP",NA,"Veneer, plywood and engineered wood product manufacturing [BS321200]",24.3663694995935
"226","Quebec","QC","Direct","GDP",NA,"Total Forest Sector",263.010598185659
"227","Quebec","QC","Direct","Jobs",NA,"Converted paper product manufacturing [BS3222]",0.00031927870663716
"228","Quebec","QC","Direct","Jobs",NA,"Forestry and logging [BS113]",0.000273693387149122
"229","Quebec","QC","Direct","Jobs",NA,"Other wood product manufacturing [BS3219]",0.000513851077477426
"230","Quebec","QC","Direct","Jobs",NA,"Pulp, paper and paperboard mills [BS3221]",0.000366787610466652
"231","Quebec","QC","Direct","Jobs",NA,"Sawmills and wood preservation [BS3211]",0.000374082713346506
"232","Quebec","QC","Direct","Jobs",NA,"Support activities for forestry [BS1153]",0.000139695776042563
"233","Quebec","QC","Direct","Jobs",NA,"Veneer, plywood and engineered wood product manufacturing [BS3212]",0.00018956379274365
"234","Quebec","QC","Direct","Jobs",NA,"Total Forest Sector",0.00217695306386308
"235","Saskatchewan","SK","Direct","Output",NA,"Converted paper product manufacturing [BS322200]",6.30466869555226
"236","Saskatchewan","SK","Direct","Output",NA,"Forestry and logging [BS113000]",35.5938811324442
"237","Saskatchewan","SK","Direct","Output",NA,"Other wood product manufacturing [BS321900]",15.1282587624583
"238","Saskatchewan","SK","Direct","Output",NA,"Pulp, paper and paperboard mills [BS322100]",67.7162663398452
"239","Saskatchewan","SK","Direct","Output",NA,"Sawmills and wood preservation [BS321100]",46.9363925707041
"240","Saskatchewan","SK","Direct","Output",NA,"Support activities for forestry [BS115300]",19.0956826767934
"241","Saskatchewan","SK","Direct","Output",NA,"Veneer, plywood and engineered wood product manufacturing [BS321200]",107.061523549705
"242","Saskatchewan","SK","Direct","Output",NA,"Total Forest Sector",297.836673727503
"243","Saskatchewan","SK","Direct","GDP",NA,"Converted paper product manufacturing [BS322200]",1.66946055801228
"244","Saskatchewan","SK","Direct","GDP",NA,"Forestry and logging [BS113000]",11.7156849747568
"245","Saskatchewan","SK","Direct","GDP",NA,"Other wood product manufacturing [BS321900]",6.28502798310506
"246","Saskatchewan","SK","Direct","GDP",NA,"Pulp, paper and paperboard mills [BS322100]",17.774844764719
"247","Saskatchewan","SK","Direct","GDP",NA,"Sawmills and wood preservation [BS321100]",17.2003539256383
"248","Saskatchewan","SK","Direct","GDP",NA,"Support activities for forestry [BS115300]",5.17532772983807
"249","Saskatchewan","SK","Direct","GDP",NA,"Veneer, plywood and engineered wood product manufacturing [BS321200]",38.2748383814874
"250","Saskatchewan","SK","Direct","GDP",NA,"Total Forest Sector",98.0955383175569
"251","Saskatchewan","SK","Direct","Jobs",NA,"Converted paper product manufacturing [BS3222]",2.08682569751535e-05
"252","Saskatchewan","SK","Direct","Jobs",NA,"Forestry and logging [BS113]",9.15748217850854e-05
"253","Saskatchewan","SK","Direct","Jobs",NA,"Other wood product manufacturing [BS3219]",8.74011703900547e-05
"254","Saskatchewan","SK","Direct","Jobs",NA,"Pulp, paper and paperboard mills [BS3221]",5.03293256459585e-05
"255","Saskatchewan","SK","Direct","Jobs",NA,"Sawmills and wood preservation [BS3211]",0.000139694567280734
"256","Saskatchewan","SK","Direct","Jobs",NA,"Support activities for forestry [BS1153]",3.31437022546556e-05
"257","Saskatchewan","SK","Direct","Jobs",NA,"Veneer, plywood and engineered wood product manufacturing [BS3212]",0.000245999923401221
"258","Saskatchewan","SK","Direct","Jobs",NA,"Total Forest Sector",0.000669011767732863
"259","Yukon","YT","Direct","Output",NA,"Forestry and logging [BS113000]",134.548241505578
"260","Yukon","YT","Direct","Output",NA,"Other wood product manufacturing [BS321900]",0
"261","Yukon","YT","Direct","Output",NA,"Sawmills and wood preservation [BS321100]",25.5471344630844
"262","Yukon","YT","Direct","Output",NA,"Support activities for forestry [BS115300]",223.111640977604
"263","Yukon","YT","Direct","Output",NA,"Total Forest Sector",383.207016946266
"264","Yukon","YT","Direct","GDP",NA,"Forestry and logging [BS113000]",59.6099804138636
"265","Yukon","YT","Direct","GDP",NA,"Other wood product manufacturing [BS321900]",0
"266","Yukon","YT","Direct","GDP",NA,"Sawmills and wood preservation [BS321100]",11.9219960827727
"267","Yukon","YT","Direct","GDP",NA,"Support activities for forestry [BS115300]",177.126798944052
"268","Yukon","YT","Direct","GDP",NA,"Total Forest Sector",248.658775440688
"269","Yukon","YT","Direct","Jobs",NA,"Converted paper product manufacturing [BS3222]",0
"270","Yukon","YT","Direct","Jobs",NA,"Forestry and logging [BS113]",0.00221408498680065
"271","Yukon","YT","Direct","Jobs",NA,"Other wood product manufacturing [BS3219]",0.000170314229753896
"272","Yukon","YT","Direct","Jobs",NA,"Pulp, paper and paperboard mills [BS3221]",0
"273","Yukon","YT","Direct","Jobs",NA,"Sawmills and wood preservation [BS3211]",0.000255471344630844
"274","Yukon","YT","Direct","Jobs",NA,"Support activities for forestry [BS1153]",0.00221408498680065
"275","Yukon","YT","Direct","Jobs",NA,"Veneer, plywood and engineered wood product manufacturing [BS3212]",0
"276","Yukon","YT","Direct","Jobs",NA,"Total Forest Sector",0.00485395554798603
"277","Alberta","AB","Indirect","Output",TRUE,"Forestry and logging [BS113000]",16.1379882140555
"278","Alberta","AB","Indirect","Output",FALSE,"Forestry and logging [BS113000]",23.727994651498
